,zipcode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate
141,78610,2022-04,82417.9299,493.8764550844589,0.0136,0.015,Multi-Family (2-4 Unit),0.03,0.001,0.088
142,78610,2022-07,82417.9299,520.4899930411716,0.0136,0.015,Multi-Family (2-4 Unit),0.03,0.001,0.088
143,78610,2022-10,82417.9299,543.8412714585633,0.0136,0.015,Multi-Family (2-4 Unit),0.03,0.001,0.088
144,78610,2022-04,82417.9299,493.8764550844589,0.0136,0.015,Single Family Residential,0.03,0.001,0.088
145,78610,2022-07,82417.9299,520.4899930411716,0.0136,0.015,Single Family Residential,0.03,0.001,0.088
146,78610,2022-10,82417.9299,543.8412714585633,0.0136,0.015,Single Family Residential,0.03,0.001,0.088
147,78610,2022-04,82417.9299,493.8764550844589,0.0136,0.015,Townhouse,0.03,0.001,0.088
148,78610,2022-07,82417.9299,520.4899930411716,0.0136,0.015,Townhouse,0.03,0.001,0.088
149,78610,2022-10,82417.9299,543.8412714585633,0.0136,0.015,Townhouse,0.03,0.001,0.088
150,78611,2022-04,62778.8723,493.8764550844589,-0.0015,0.02,All Residential,0.071,0.003,0.051
151,78611,2022-07,62778.8723,520.4899930411716,-0.0015,0.02,All Residential,0.071,0.003,0.051
152,78611,2022-10,62778.8723,543.8412714585633,-0.0015,0.02,All Residential,0.071,0.003,0.051
153,78611,2022-04,62778.8723,493.8764550844589,-0.0015,0.02,Condo/Co-op,0.071,0.003,0.051
154,78611,2022-07,62778.8723,520.4899930411716,-0.0015,0.02,Condo/Co-op,0.071,0.003,0.051
155,78611,2022-10,62778.8723,543.8412714585633,-0.0015,0.02,Condo/Co-op,0.071,0.003,0.051
156,78611,2022-04,62778.8723,493.8764550844589,-0.0015,0.02,Multi-Family (2-4 Unit),0.071,0.003,0.051
157,78611,2022-07,62778.8723,520.4899930411716,-0.0015,0.02,Multi-Family (2-4 Unit),0.071,0.003,0.051
158,78611,2022-10,62778.8723,543.8412714585633,-0.0015,0.02,Multi-Family (2-4 Unit),0.071,0.003,0.051
159,78611,2022-04,62778.8723,493.8764550844589,-0.0015,0.02,Single Family Residential,0.071,0.003,0.051
160,78611,2022-07,62778.8723,520.4899930411716,-0.0015,0.02,Single Family Residential,0.071,0.003,0.051
161,78611,2022-10,62778.8723,543.8412714585633,-0.0015,0.02,Single Family Residential,0.071,0.003,0.051
162,78611,2022-04,62778.8723,493.8764550844589,-0.0015,0.02,Townhouse,0.071,0.003,0.051
163,78611,2022-07,62778.8723,520.4899930411716,-0.0015,0.02,Townhouse,0.071,0.003,0.051
164,78611,2022-10,62778.8723,543.8412714585633,-0.0015,0.02,Townhouse,0.071,0.003,0.051
165,78612,2022-04,70882.4765,493.8764550844589,-0.001,0.019,All Residential,0.057,0.0,0.036
166,78612,2022-07,70882.4765,520.4899930411716,-0.001,0.019,All Residential,0.057,0.0,0.036
167,78612,2022-10,70882.4765,543.8412714585633,-0.001,0.019,All Residential,0.057,0.0,0.036
168,78612,2022-04,70882.4765,493.8764550844589,-0.001,0.019,Condo/Co-op,0.057,0.0,0.036
169,78612,2022-07,70882.4765,520.4899930411716,-0.001,0.019,Condo/Co-op,0.057,0.0,0.036
170,78612,2022-10,70882.4765,543.8412714585633,-0.001,0.019,Condo/Co-op,0.057,0.0,0.036
171,78612,2022-04,70882.4765,493.8764550844589,-0.001,0.019,Multi-Family (2-4 Unit),0.057,0.0,0.036
172,78612,2022-07,70882.4765,520.4899930411716,-0.001,0.019,Multi-Family (2-4 Unit),0.057,0.0,0.036
173,78612,2022-10,70882.4765,543.8412714585633,-0.001,0.019,Multi-Family (2-4 Unit),0.057,0.0,0.036
174,78612,2022-04,70882.4765,493.8764550844589,-0.001,0.019,Single Family Residential,0.057,0.0,0.036
175,78612,2022-07,70882.4765,520.4899930411716,-0.001,0.019,Single Family Residential,0.057,0.0,0.036
176,78612,2022-10,70882.4765,543.8412714585633,-0.001,0.019,Single Family Residential,0.057,0.0,0.036
177,78612,2022-04,70882.4765,493.8764550844589,-0.001,0.019,Townhouse,0.057,0.0,0.036
178,78612,2022-07,70882.4765,520.4899930411716,-0.001,0.019,Townhouse,0.057,0.0,0.036
179,78612,2022-10,70882.4765,543.8412714585633,-0.001,0.019,Townhouse,0.057,0.0,0.036
180,78613,2022-04,110040.7311,493.8764550844589,0.0346,0.036,All Residential,0.061,0.009,0.066
181,78613,2022-07,110040.7311,520.4899930411716,0.0346,0.036,All Residential,0.061,0.009,0.066
182,78613,2022-10,110040.7311,543.8412714585633,0.0346,0.036,All Residential,0.061,0.009,0.066
183,78613,2022-04,110040.7311,493.8764550844589,0.0346,0.036,Condo/Co-op,0.061,0.009,0.066
184,78613,2022-07,110040.7311,520.4899930411716,0.0346,0.036,Condo/Co-op,0.061,0.009,0.066
