ZipCode,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98053,80975.0,101000.0,120000.0,97000.0,125000.0,145000.0,166000.0,184950.0,291500.0,255000.0,225000.0,279725.0,298375.0,299625.0,306500.0,334000.0,374975.0,403000.0,417495.0,373417.5,373351.0,408431.0,435000.0,530520.5,612250.0,659178.0,630000.0,517500.0,535000.0,538000.0,556826.0,619990.0,669000.0,695475.0,740500.0,838000.0,940000.0,945000.0,961000.0,1300000.0,1590000.0
98054,,,,,,,,,,,,,,,,,,,,,,,,345990.0,,,,,,,,,,,,,,,,,
98055,71900.0,84000.0,78500.0,82500.0,85950.0,90000.0,92000.0,108500.0,146000.0,131000.0,134950.0,139000.0,144950.0,163900.0,151000.0,153325.0,174000.0,192000.0,206927.5,207000.0,228725.0,237500.0,259950.0,315000.0,365000.0,370000.0,330000.0,285500.0,260000.0,237000.0,229975.0,267966.0,280000.0,324950.0,355000.0,414950.0,450000.0,463000.0,520000.0,615000.0,746940.0
98056,69950.0,76245.0,65000.0,70500.0,75000.0,73950.0,88500.0,117375.0,152250.0,129500.0,137115.0,140000.0,144900.0,146000.0,158875.0,162000.0,184000.0,195500.0,242341.0,254425.0,254950.0,265800.0,284184.0,340163.0,385000.0,405000.0,362500.0,311750.0,307125.0,270000.0,273000.0,345000.0,345000.0,380000.0,419000.0,500000.0,521500.0,545000.0,600000.0,740750.0,802750.0
98057,57975.0,44000.0,69500.0,47950.0,63500.0,65000.0,69000.0,71900.0,95500.0,91250.0,97250.0,107000.0,100500.0,109000.0,115850.0,122750.0,133000.0,148000.0,155000.0,169975.0,180000.0,193675.0,260000.0,261500.0,283000.0,352500.0,322450.0,260000.0,269625.0,210000.0,211200.5,230000.0,236000.0,284700.0,317600.0,365000.0,415000.0,465000.0,500000.0,550000.0,712500.0
98058,77950.0,82950.0,80000.0,87625.0,90000.0,102500.0,99950.0,116225.0,150000.0,155900.0,140000.0,144500.0,142500.0,145000.0,152500.0,165000.0,185000.0,196950.0,211340.0,216500.0,237000.0,256000.0,282500.0,314950.0,350250.0,370000.0,347750.0,308000.0,285000.0,249200.0,254900.0,283950.0,309000.0,336000.0,385000.0,430000.0,459500.0,501500.0,531750.0,655000.0,765000.0
98059,78500.0,78900.0,75750.0,80000.0,82000.0,83950.0,92977.0,122700.0,165000.0,174000.0,160000.0,145000.0,152250.0,155000.0,179750.0,189990.0,205500.0,222613.0,244875.0,265000.0,296458.0,299975.0,334950.0,379950.0,430000.0,449840.0,415000.0,380000.0,375000.0,335000.0,335000.0,380000.0,390000.0,445000.0,520000.0,570000.0,588500.0,604000.0,650000.0,790000.0,925000.0
98063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000.0,,,,,,447000.0,,,,,701000.0,
98065,48750.0,72500.0,45000.0,65500.0,73000.0,55000.0,65000.0,72225.0,122500.0,120000.0,100000.0,129000.0,129000.0,134500.0,133000.0,174725.0,225000.0,285497.5,290015.0,325000.0,320000.0,336570.0,372225.0,465000.0,465500.0,485000.0,516200.0,438900.0,450000.0,399999.0,385000.0,405000.0,464500.0,505000.0,569999.5,648500.0,674500.0,685000.0,756000.0,950000.0,1032500.0
98068,,114000.0,,,105000.0,82500.0,125250.0,205000.0,97125.0,167500.0,178000.0,189975.0,149950.0,189000.0,157000.0,205000.0,310000.0,282500.0,300000.0,275000.0,420000.0,325000.0,338000.0,380000.0,450000.0,595000.0,435000.0,194250.0,555000.0,336250.0,362500.0,385000.0,385204.5,340000.0,550000.0,500000.0,605000.0,692915.0,564125.0,878000.0,
98070,78000.0,75000.0,69500.0,72975.0,76000.0,87000.0,88250.0,99750.0,141500.0,180000.0,175000.0,173750.0,180000.0,175000.0,186000.0,190000.0,229000.0,245875.0,261750.0,265000.0,282000.0,305000.0,340000.0,401000.0,428000.0,485000.0,465000.0,403500.0,377500.0,321500.0,343000.0,390000.0,385000.0,462250.0,513500.0,571000.0,615000.0,599000.0,685000.0,795000.0,846500.0
