zipcode,year,unemployment_rate
78648,2018,0.018000000000000002
78648,2019,0.027999999999999997
78648,2020,0.038
78648,2021,0.0291
78648,2022,0.0319
78655,2011,0.073
78655,2012,0.084
78655,2013,0.085
78655,2014,0.065
78655,2015,0.021
78655,2016,0.021
78655,2017,0.012
78655,2018,0.004
78655,2019,0.002
78655,2020,0.071
78655,2021,-0.0069
78655,2022,-0.0159
78656,2011,0.345
78656,2012,0.33299999999999996
78656,2013,0.11
78656,2014,0.08900000000000001
78656,2015,0.05
78656,2016,0.065
78656,2017,0.0
78656,2018,0.0
78656,2019,0.01
78656,2020,0.008
78656,2021,-0.0507
78656,2022,-0.0942
78661,2011,0.0
78661,2012,0.113
78661,2013,0.115
78661,2014,0.129
78661,2015,0.111
78661,2016,0.098
78661,2017,0.059000000000000004
78661,2018,0.037000000000000005
78661,2019,0.031
78661,2020,0.073
78661,2021,0.0173
78661,2022,0.0067
78666,2011,0.095
78666,2012,0.098
78666,2013,0.092
78666,2014,0.09
78666,2015,0.09
78666,2016,0.077
78666,2017,0.071
78666,2018,0.07400000000000001
78666,2019,0.066
78666,2020,0.069
78666,2021,0.0622
78666,2022,0.058
78619,2011,0.064
78619,2012,0.054000000000000006
78619,2013,0.059000000000000004
78619,2014,0.067
78619,2015,0.077
78619,2016,0.06
78619,2017,0.055999999999999994
78619,2018,0.038
78619,2019,0.012
78619,2020,0.057
78619,2021,-0.0103
78619,2022,-0.0344
78620,2011,0.049
78620,2012,0.059000000000000004
78620,2013,0.057999999999999996
78620,2014,0.064
78620,2015,0.059000000000000004
78620,2016,0.038
78620,2017,0.037000000000000005
78620,2018,0.038
78620,2019,0.024
78620,2020,0.028999999999999998
78620,2021,0.0186
78620,2022,0.0114
78623,2011,0.031
78623,2012,0.078
78623,2013,0.068
78623,2014,0.057
78623,2015,0.039
78623,2016,0.034
78623,2017,0.0
78623,2018,0.0
78623,2019,0.0
78623,2020,0.0
78623,2021,-0.0068
78623,2022,-0.0095
78652,2011,0.076
78652,2012,0.059000000000000004
78652,2013,0.078
78652,2014,0.08900000000000001
78652,2015,0.077
78652,2016,0.019
78652,2017,0.021
78652,2018,0.022000000000000002
78652,2019,0.024
78652,2020,0.032
78652,2021,0.0176
78652,2022,0.0112
78663,2011,0.051
78663,2012,0.043
78663,2013,0.013999999999999999
78663,2014,0.013000000000000001
78663,2015,0.0
78663,2016,0.091
78663,2017,0.053
78663,2018,0.131
78663,2019,0.12
78663,2020,0.157
78663,2021,0.1558
78663,2022,0.1834
78676,2011,0.052000000000000005
78676,2012,0.059000000000000004
78676,2013,0.059000000000000004
78676,2014,0.055999999999999994
78676,2015,0.037000000000000005
78676,2016,0.042
78676,2017,0.031
78676,2018,0.017
78676,2019,0.011000000000000001
78676,2020,0.087
78676,2021,0.0007
78676,2022,-0.009
78736,2011,0.053
78736,2012,0.062
78736,2013,0.055999999999999994
78736,2014,0.025
78736,2015,0.024
78736,2016,0.026000000000000002
78736,2017,0.012
78736,2018,0.013999999999999999
78736,2019,0.034
78736,2020,0.037000000000000005
78736,2021,0.0303
78736,2022,0.0279
78737,2011,0.040999999999999995
78737,2012,0.042
78737,2013,0.048
78737,2014,0.040999999999999995
78737,2015,0.037000000000000005
78737,2016,0.037000000000000005
78737,2017,0.028999999999999998
78737,2018,0.032
78737,2019,0.033
78737,2020,0.07400000000000001
78737,2021,0.0316
78737,2022,0.0305
78613,2011,0.066
78613,2012,0.073
78613,2013,0.073
78613,2014,0.064
78613,2015,0.057999999999999996
78613,2016,0.045
78613,2017,0.037000000000000005
78613,2018,0.033
78613,2019,0.034
78613,2020,0.045
78613,2021,0.0341
78613,2022,0.0346
78615,2011,0.063
78615,2012,0.08900000000000001
78615,2013,0.075
78615,2014,0.085
78615,2015,0.037000000000000005
78615,2016,0.037000000000000005
78615,2017,0.044000000000000004
78615,2018,0.052000000000000005
78615,2019,0.043
78615,2020,0.049
78615,2021,0.0333
78615,2022,0.0282
78634,2011,0.078
78634,2012,0.08
78634,2013,0.08199999999999999
78634,2014,0.071
78634,2015,0.068
78634,2016,0.071
78634,2017,0.07400000000000001
78634,2018,0.069
78634,2019,0.067
78634,2020,0.061
78634,2021,0.0656
78634,2022,0.0641
78641,2011,0.06
78641,2012,0.07
78641,2013,0.073
78641,2014,0.07200000000000001
78641,2015,0.055999999999999994
78641,2016,0.053
78641,2017,0.040999999999999995
78641,2018,0.039
78641,2019,0.042
78641,2020,0.047
78641,2021,0.0419
78641,2022,0.0433
78645,2011,0.067
78645,2012,0.071
78645,2013,0.09
78645,2014,0.084
78645,2015,0.075
78645,2016,0.08800000000000001
78645,2017,0.068
78645,2018,0.066
78645,2019,0.055
78645,2020,0.051
78645,2021,0.0485
78645,2022,0.0396
78653,2011,0.057999999999999996
78653,2012,0.07
78653,2013,0.085
78653,2014,0.076
78653,2015,0.08
78653,2016,0.09300000000000001
78653,2017,0.073
78653,2018,0.061
78653,2019,0.062
78653,2020,0.044000000000000004
78653,2021,0.0527
78653,2022,0.0445
78660,2011,0.07400000000000001
78660,2012,0.077
78660,2013,0.077
78660,2014,0.067
78660,2015,0.057999999999999996
78660,2016,0.05
78660,2017,0.049
78660,2018,0.038
78660,2019,0.04
78660,2020,0.037000000000000005
78660,2021,0.036
78660,2022,0.0337
78664,2011,0.079
78664,2012,0.084
78664,2013,0.08800000000000001
78664,2014,0.07200000000000001
78664,2015,0.063
78664,2016,0.057
78664,2017,0.053
78664,2018,0.052000000000000005
78664,2019,0.062
78664,2020,0.054000000000000006
78664,2021,0.0687
78664,2022,0.0755
78701,2011,0.087
78701,2012,0.08900000000000001
78701,2013,0.063
78701,2014,0.05
78701,2015,0.034
78701,2016,0.025
78701,2017,0.017
78701,2018,0.017
78701,2019,0.008
78701,2020,0.018000000000000002
78701,2021,-0.0005
78701,2022,-0.0079
78702,2011,0.114
78702,2012,0.111
78702,2013,0.10400000000000001
78702,2014,0.09
78702,2015,0.078
78702,2016,0.065
78702,2017,0.057999999999999996
78702,2018,0.049
78702,2019,0.057999999999999996
78702,2020,0.047
78702,2021,0.0631
78702,2022,0.0695
78703,2011,0.034
78703,2012,0.038
78703,2013,0.045
78703,2014,0.049
78703,2015,0.036000000000000004
78703,2016,0.03
78703,2017,0.026000000000000002
78703,2018,0.019
78703,2019,0.02
78703,2020,0.039
78703,2021,0.0172
78703,2022,0.0145
78704,2011,0.069
78704,2012,0.069
78704,2013,0.069
78704,2014,0.055999999999999994
78704,2015,0.045
78704,2016,0.036000000000000004
78704,2017,0.035
78704,2018,0.034
78704,2019,0.027999999999999997
78704,2020,0.045
78704,2021,0.0222
78704,2022,0.0164
78705,2011,0.14400000000000002
78705,2012,0.14400000000000002
78705,2013,0.138
78705,2014,0.126
78705,2015,0.11800000000000001
78705,2016,0.09300000000000001
78705,2017,0.08900000000000001
78705,2018,0.087
78705,2019,0.081
78705,2020,0.095
78705,2021,0.0743
78705,2022,0.0675
78712,2011,0.33299999999999996
78712,2012,0.204
78712,2013,0.159
78712,2014,0.10400000000000001
78712,2015,0.17600000000000002
78712,2016,0.222
78712,2017,0.233
78712,2018,0.23399999999999999
78712,2019,0.337
78712,2020,0.321
78712,2021,0.4148
78712,2022,0.5006
78719,2011,0.109
78719,2012,0.151
78719,2013,0.124
78719,2014,0.045
78719,2015,0.037000000000000005
78719,2016,0.04
78719,2017,0.017
78719,2018,0.015
78719,2019,0.022000000000000002
78719,2020,0.027000000000000003
78719,2021,0.0105
