zipcode,year,unemployment_rate
98056,2015,0.066
98056,2016,0.055
98056,2017,0.053
98056,2018,0.051
98056,2019,0.039
98056,2020,0.031
98056,2021,0.0315
98056,2022,0.0239
98057,2011,0.11699999999999999
98057,2012,0.10400000000000001
98057,2013,0.102
98057,2014,0.109
98057,2015,0.08900000000000001
98057,2016,0.066
98057,2017,0.057
98057,2018,0.061
98057,2019,0.057
98057,2020,0.039
98057,2021,0.0497
98057,2022,0.0425
98058,2011,0.069
98058,2012,0.077
98058,2013,0.081
98058,2014,0.066
98058,2015,0.054000000000000006
98058,2016,0.047
98058,2017,0.047
98058,2018,0.051
98058,2019,0.044000000000000004
98058,2020,0.047
98058,2021,0.0403
98058,2022,0.0365
98059,2011,0.073
98059,2012,0.07200000000000001
98059,2013,0.078
98059,2014,0.061
98059,2015,0.049
98059,2016,0.052000000000000005
98059,2017,0.049
98059,2018,0.040999999999999995
98059,2019,0.037000000000000005
98059,2020,0.032
98059,2021,0.0324
98059,2022,0.0279
98065,2011,0.043
98065,2012,0.055
98065,2013,0.055
98065,2014,0.046
98065,2015,0.042
98065,2016,0.036000000000000004
98065,2017,0.034
98065,2018,0.034
98065,2019,0.031
98065,2020,0.025
98065,2021,0.0296
98065,2022,0.028
98068,2011,0.129
98068,2012,0.087
98068,2013,0.079
98068,2014,0.225
98068,2015,0.203
98068,2016,0.087
98068,2017,0.1
98068,2018,0.063
98068,2019,0.024
98068,2020,0.036000000000000004
98068,2021,0.0618
98068,2022,0.052
98070,2011,0.06
98070,2012,0.062
98070,2013,0.063
98070,2014,0.06
98070,2015,0.054000000000000006
98070,2016,0.032
98070,2017,0.024
98070,2018,0.02
98070,2019,0.016
98070,2020,0.048
98070,2021,0.011
98070,2022,0.006
98072,2011,0.057999999999999996
98072,2012,0.055
98072,2013,0.055999999999999994
98072,2014,0.05
98072,2015,0.048
98072,2016,0.038
98072,2017,0.036000000000000004
98072,2018,0.032
98072,2019,0.027000000000000003
98072,2020,0.028999999999999998
98072,2021,0.0233
98072,2022,0.0194
98074,2011,0.032
98074,2012,0.038
98074,2013,0.044000000000000004
98074,2014,0.044000000000000004
98074,2015,0.045
