ZipCode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,Label
78655,2022-04,71276.8684,493.876455084459,-0.0159,0.002,All Residential,0.016,0,0.105,361204.823707588
78655,2022-04,71276.8684,493.876455084459,-0.0159,0.002,Condo/Co-op,0.016,0,0.105,330157.663053064
78655,2022-04,71276.8684,493.876455084459,-0.0159,0.002,Multi-Family (2-4 Unit),0.016,0,0.105,423170.763317495
78655,2022-04,71276.8684,493.876455084459,-0.0159,0.002,Single Family Residential,0.016,0,0.105,369043.7264782
78655,2022-04,71276.8684,493.876455084459,-0.0159,0.002,Townhouse,0.016,0,0.105,347297.524359246
78656,2022-04,61758.9809,493.876455084459,-0.0942,0,All Residential,0.012,0,0.104,348237.292414163
78656,2022-04,61758.9809,493.876455084459,-0.0942,0,Condo/Co-op,0.012,0,0.104,320058.634021154
78656,2022-04,61758.9809,493.876455084459,-0.0942,0,Multi-Family (2-4 Unit),0.012,0,0.104,400707.855935316
78656,2022-04,61758.9809,493.876455084459,-0.0942,0,Single Family Residential,0.012,0,0.104,350749.020308882
78656,2022-04,61758.9809,493.876455084459,-0.0942,0,Townhouse,0.012,0,0.104,333836.694786549
78659,2022-04,64452.5423,493.876455084459,-0.0302,0,All Residential,0.042,0.005,0.048,355848.624455038
78659,2022-04,64452.5423,493.876455084459,-0.0302,0,Condo/Co-op,0.042,0.005,0.048,326092.725959259
78659,2022-04,64452.5423,493.876455084459,-0.0302,0,Multi-Family (2-4 Unit),0.042,0.005,0.048,408637.989528264
78659,2022-04,64452.5423,493.876455084459,-0.0302,0,Single Family Residential,0.042,0.005,0.048,360134.723178487
78659,2022-04,64452.5423,493.876455084459,-0.0302,0,Townhouse,0.042,0.005,0.048,340781.254793311
78660,2022-04,93312.7725,493.876455084459,0.0337,0.025,All Residential,0.08,0.003,0.044,441682.742743834
78660,2022-04,93312.7725,493.876455084459,0.0337,0.025,Condo/Co-op,0.08,0.003,0.044,348966.834381083
78660,2022-04,93312.7725,493.876455084459,0.0337,0.025,Multi-Family (2-4 Unit),0.08,0.003,0.044,475060.718125685
78660,2022-04,93312.7725,493.876455084459,0.0337,0.025,Single Family Residential,0.08,0.003,0.044,452347.577022922
78660,2022-04,93312.7725,493.876455084459,0.0337,0.025,Townhouse,0.08,0.003,0.044,357452.430784575
78661,2022-04,33221.9839,493.876455084459,0.0067,0,All Residential,0,0,0.027,314516.695130384
78661,2022-04,33221.9839,493.876455084459,0.0067,0,Condo/Co-op,0,0,0.027,299435.638593063
78661,2022-04,33221.9839,493.876455084459,0.0067,0,Multi-Family (2-4 Unit),0,0,0.027,338919.886822404
78661,2022-04,33221.9839,493.876455084459,0.0067,0,Single Family Residential,0,0,0.027,312379.039296884
78661,2022-04,33221.9839,493.876455084459,0.0067,0,Townhouse,0,0,0.027,311799.051680428
78662,2022-04,80206.2534,493.876455084459,-0.0258,0,All Residential,0.111,0,0.028,405421.444489978
78662,2022-04,80206.2534,493.876455084459,-0.0258,0,Condo/Co-op,0.111,0,0.028,335864.44810482
78662,2022-04,80206.2534,493.876455084459,-0.0258,0,Multi-Family (2-4 Unit),0.111,0,0.028,458727.593575914
78662,2022-04,80206.2534,493.876455084459,-0.0258,0,Single Family Residential,0.111,0,0.028,425989.084099108
78662,2022-04,80206.2534,493.876455084459,-0.0258,0,Townhouse,0.111,0,0.028,387994.884053484
78664,2022-04,83546.0166,493.876455084459,0.0755,0.027,All Residential,0.103,0.013,0.083,388470.872947838
78664,2022-04,83546.0166,493.876455084459,0.0755,0.027,Condo/Co-op,0.103,0.013,0.083,311718.460919874
78664,2022-04,83546.0166,493.876455084459,0.0755,0.027,Multi-Family (2-4 Unit),0.103,0.013,0.083,401518.901719679
78664,2022-04,83546.0166,493.876455084459,0.0755,0.027,Single Family Residential,0.103,0.013,0.083,391091.101063658
78664,2022-04,83546.0166,493.876455084459,0.0755,0.027,Townhouse,0.103,0.013,0.083,328133.270758686
78665,2022-04,100528.2417,493.876455084459,0.0338,0.052,All Residential,0.07,0.005,0.052,518067.005900417
78665,2022-04,100528.2417,493.876455084459,0.0338,0.052,Condo/Co-op,0.07,0.005,0.052,389277.476885931
78665,2022-04,100528.2417,493.876455084459,0.0338,0.052,Multi-Family (2-4 Unit),0.07,0.005,0.052,521976.626179503
78665,2022-04,100528.2417,493.876455084459,0.0338,0.052,Single Family Residential,0.07,0.005,0.052,532147.368151961
78665,2022-04,100528.2417,493.876455084459,0.0338,0.052,Townhouse,0.07,0.005,0.052,405108.596545355
78666,2022-04,51157.5616,493.876455084459,0.058,0.023,All Residential,0.132,0.004,0.128,357752.815606348
78666,2022-04,51157.5616,493.876455084459,0.058,0.023,Condo/Co-op,0.132,0.004,0.128,305198.044800603
78666,2022-04,51157.5616,493.876455084459,0.058,0.023,Multi-Family (2-4 Unit),0.132,0.004,0.128,386059.681106421
78666,2022-04,51157.5616,493.876455084459,0.058,0.023,Single Family Residential,0.132,0.004,0.128,359870.533803217
78666,2022-04,51157.5616,493.876455084459,0.058,0.023,Townhouse,0.132,0.004,0.128,315565.668863413
78669,2022-04,141212.3787,493.876455084459,0.0353,0.019,All Residential,0.059,0,0.019,640025.696747338
78669,2022-04,141212.3787,493.876455084459,0.0353,0.019,Condo/Co-op,0.059,0,0.019,458167.228237032
78669,2022-04,141212.3787,493.876455084459,0.0353,0.019,Multi-Family (2-4 Unit),0.059,0,0.019,569085.575661184
78669,2022-04,141212.3787,493.876455084459,0.0353,0.019,Single Family Residential,0.059,0,0.019,627277.64982633
78669,2022-04,141212.3787,493.876455084459,0.0353,0.019,Townhouse,0.059,0,0.019,463259.84978088
78676,2022-04,82694.7408,493.876455084459,-0.009,0.024,All Residential,0.045,0,0.051,422683.32730045
78676,2022-04,82694.7408,493.876455084459,-0.009,0.024,Condo/Co-op,0.045,0,0.051,368159.101547279
78676,2022-04,82694.7408,493.876455084459,-0.009,0.024,Multi-Family (2-4 Unit),0.045,0,0.051,472760.135263234
78676,2022-04,82694.7408,493.876455084459,-0.009,0.024,Single Family Residential,0.045,0,0.051,426785.793572824
78676,2022-04,82694.7408,493.876455084459,-0.009,0.024,Townhouse,0.045,0,0.051,368067.39288818
78681,2022-04,113732.7683,493.876455084459,0.0368,0.032,All Residential,0.055,0.011,0.036,587135.014847722
