Zip Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78754,4.3%,3.2%,2.8%,3.2%,3.5%,4.9%,4.5%,5.0%,4.1%,3.1%
78756,3.3%,3.4%,3.8%,4.0%,3.1%,1.9%,2.0%,2.4%,3.2%,3.3%
78757,1.9%,1.9%,2.0%,2.1%,2.8%,3.3%,4.0%,4.5%,4.2%,3.2%
78758,3.2%,3.2%,3.3%,2.9%,3.4%,3.7%,3.7%,3.9%,4.2%,3.6%
78759,3.6%,3.7%,3.4%,3.6%,3.8%,3.7%,3.9%,4.0%,3.4%,3.8%
76511,0.2%,0.7%,0.8%,0.9%,0.9%,1.1%,1.0%,0.6%,0.1%,1.4%
76530,2.2%,2.4%,2.1%,2.1%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%
76537,0.0%,0.9%,0.7%,2.0%,2.6%,3.2%,3.0%,3.0%,1.5%,1.8%
76573,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
76574,2.0%,1.6%,1.6%,1.4%,1.8%,2.3%,2.2%,1.4%,1.5%,1.7%
76577,0.0%,0.0%,0.3%,0.9%,2.2%,2.0%,2.1%,1.8%,1.4%,0.8%
76578,0.9%,1.0%,0.9%,1.2%,1.7%,0.5%,0.4%,0.5%,0.4%,0.0%
78626,1.7%,2.3%,2.5%,2.6%,2.7%,2.7%,2.4%,3.0%,2.4%,3.3%
78628,3.0%,3.1%,3.1%,2.9%,2.9%,2.7%,2.7%,2.8%,2.3%,2.4%
78633,3.3%,3.1%,2.5%,2.8%,2.0%,2.6%,3.2%,2.8%,3.0%,3.7%
78665,6.4%,7.0%,6.3%,6.1%,5.5%,4.9%,4.6%,6.1%,5.2%,8.4%
78681,3.4%,3.3%,3.6%,3.4%,3.1%,3.4%,3.3%,3.3%,3.2%,3.2%
78717,6.7%,8.3%,6.6%,7.5%,8.0%,5.7%,4.8%,4.5%,3.9%,5.2%
