ZipCode,TrafficNoise,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98056,3,43750.0,,65000.0,65950.0,,60250.0,75750.0,,139500.0,84495.0,196000.0,100000.0,139950.0,110000.0,130000.0,146975.0,161475.0,170475.0,247500.0,232000.0,207500.0,255975.0,284150.0,317475.0,355000.0,416500.0,420000.0,410000.0,267250.0,279250.0,260000.0,292076.0,380000.0,315500.0,361000.0,491500.0,479475.0,568264.5,637500.0,836000.0,1062500.0
98057,0,65950.0,43000.0,71000.0,49975.0,55500.0,67500.0,74000.0,73075.5,115000.0,92500.0,94975.0,106000.0,99950.0,115999.5,114810.0,117500.0,125000.0,145000.0,153000.0,172000.0,182500.0,198500.0,280000.0,250000.0,275000.0,365500.0,332000.0,259500.0,274250.0,212000.0,239950.0,233900.0,238950.0,285000.0,325513.5,365000.0,413750.0,462000.0,510000.0,555000.0,735000.0
98057,1,,49000.0,,46228.0,69724.5,70000.0,56250.0,43000.0,64000.0,,94000.0,108500.0,120000.0,99427.0,133500.0,136201.0,144750.0,159975.0,166000.0,159750.0,160000.0,193500.0,215000.0,289950.0,339000.0,330950.0,270000.0,310000.0,280000.0,281500.0,194300.0,200000.0,236500.0,277500.0,274975.0,410000.0,440000.0,450000.0,405000.0,520000.0,1150000.0
98057,2,50000.0,45000.0,33500.0,59000.0,,48875.0,61500.0,,36465.0,88000.0,144950.0,99250.0,118500.0,68000.0,92900.0,124900.0,137500.0,140000.0,164950.0,159975.0,178250.0,155000.0,196000.0,316750.0,275000.0,340000.0,264500.0,250500.0,231000.0,161750.0,131750.0,174000.0,223090.0,280000.0,302500.0,337500.0,420000.0,475000.0,400000.0,532500.0,650000.0
98058,0,78700.0,82950.0,79000.0,87750.0,90000.0,104120.0,101500.0,115000.0,154950.0,156750.0,140000.0,146000.0,144500.0,145575.0,153100.0,167500.0,188000.0,199225.0,215000.0,219950.0,240000.0,260000.0,286000.0,320000.0,355000.0,372500.0,355000.0,310000.0,295000.0,249950.0,255000.0,287000.0,317000.0,343750.0,390000.0,437975.0,465000.0,510000.0,535000.0,662500.0,783000.0
98058,1,74750.0,84000.0,84500.0,85000.0,97000.0,92000.0,98450.0,123000.0,121950.0,132000.0,133225.0,132500.0,135200.0,140017.0,144000.0,155450.0,164000.0,187500.0,199000.0,207400.0,217450.0,230000.0,245000.0,284700.0,332000.0,349975.0,313500.0,290000.0,215000.0,216000.0,249000.0,280006.5,269900.0,319975.0,355000.0,400000.0,431750.0,431000.0,515000.0,607700.0,725000.0
98058,2,70500.0,81500.0,88500.0,38000.0,75000.0,81312.5,52900.0,82475.0,191270.0,83750.0,109975.0,150000.0,95500.0,105500.0,116600.0,119950.0,180000.0,194200.0,138950.0,167000.0,180000.0,196800.0,227000.0,274930.0,366496.5,368450.0,268725.0,305000.0,214000.0,267848.5,229950.0,228722.0,272504.0,274950.0,263100.0,392000.0,364975.0,514900.0,503500.0,525999.5,620000.0
98058,3,,,,,,,,,,,106000.0,110000.0,,,,,,,237950.0,,,180500.0,,180000.0,,,,220000.0,,,240000.0,,,,252000.0,,330000.0,436000.0,,,
98059,0,78500.0,78575.0,78500.0,77500.0,82700.0,84750.0,92500.0,127950.0,172162.5,175000.0,160000.0,147900.0,154725.0,155750.0,184950.0,195990.0,206950.0,229900.0,245500.0,270000.0,299950.0,305250.0,339990.0,385925.0,439500.0,455000.0,415000.0,390000.0,384475.0,344000.0,345000.0,386500.0,395000.0,448000.0,531250.0,575000.0,595000.0,620000.0,670000.0,800000.0,925000.0
98059,1,67500.0,78950.0,67250.0,92765.0,70000.0,82000.0,140785.0,87000.0,121750.0,133225.0,165000.0,125000.0,135000.0,141725.0,139439.0,160250.0,204000.0,195000.0,213950.0,231500.0,258250.0,247900.0,275000.0,320000.0,415250.0,410250.0,374000.0,326944.0,272500.0,275000.0,270000.0,345000.0,335000.0,390000.0,470000.0,475000.0,500000.0,521000.0,565000.0,702000.0,715000.0
98059,2,,95500.0,53975.0,110000.0,61000.0,61900.0,99000.0,80000.0,68500.0,190250.0,145000.0,164500.0,132500.0,154900.0,168500.0,154000.0,146485.0,161250.0,183000.0,252420.0,261450.0,279950.0,274400.0,307000.0,302000.0,340000.0,374000.0,300000.0,337000.0,240000.0,135000.0,260000.0,310000.0,355900.0,404500.0,395000.0,501000.0,457500.0,515000.0,715000.0,699000.0
98063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000.0,,,,,,447000.0,,,,,701000.0,
98065,0,48750.0,72500.0,45000.0,63900.0,68000.0,55000.0,65000.0,69950.0,122500.0,120000.0,102500.0,128250.0,128921.0,134000.0,130997.5,179500.0,225000.0,285497.5,286817.5,323500.0,321193.5,336820.0,372500.0,470000.0,465500.0,485000.0,516200.0,438900.0,450000.0,396499.5,385000.0,405000.0,465000.0,506950.0,569999.5,649250.0,675000.0,689000.0,753000.0,950000.0,1030000.0
98065,1,,,,110000.0,85000.0,,,142000.0,,,70000.0,135000.0,188000.0,219000.0,145000.0,177500.0,225000.0,295500.0,325000.0,236400.0,104530.5,211625.0,339950.0,435000.0,,217500.0,,365000.0,435000.0,460000.0,335912.5,365000.0,304500.0,420750.0,,460975.0,652500.0,500000.0,822000.0,1000000.0,
98065,2,,,,,,,65400.0,,,,117500.0,,,,158475.0,95000.0,229500.0,,353000.0,388500.0,240000.0,345000.0,235000.0,237802.0,,540000.0,,,,,,,286500.0,387000.0,536000.0,534990.0,580000.0,600000.0,970000.0,1124944.0,1450000.0
98068,0,,114000.0,,,105000.0,82500.0,125250.0,205000.0,97125.0,167500.0,178000.0,189975.0,149950.0,189000.0,157000.0,205000.0,310000.0,282500.0,300000.0,275000.0,420000.0,325000.0,338000.0,380000.0,450000.0,595000.0,435000.0,194250.0,555000.0,336250.0,362500.0,385000.0,385204.5,340000.0,550000.0,500000.0,605000.0,692915.0,564125.0,878000.0,
98070,0,73500.0,88000.0,73750.0,75900.0,77250.0,87400.0,89000.0,102500.0,135000.0,180000.0,177500.0,176500.0,190000.0,198500.0,190000.0,190550.0,231000.0,252250.0,260000.0,268000.0,285000.0,312450.0,349000.0,402000.0,435000.0,525000.0,470000.0,407000.0,398710.5,329500.0,355000.0,392500.0,400000.0,470000.0,515886.0,575000.0,635000.0,600000.0,671000.0,807500.0,846500.0
98070,1,115000.0,70000.0,60000.0,37000.0,79000.0,99450.0,112500.0,72500.0,275000.0,80888.0,202000.0,196750.0,183000.0,137000.0,185000.0,185750.0,202500.0,214230.0,289000.0,236000.0,282500.0,350000.0,317500.0,489000.0,400000.0,410000.0,460000.0,485750.0,275000.0,446000.0,310000.0,398450.0,399750.0,419000.0,490000.0,645000.0,514250.0,604000.0,699500.0,619500.0,
98070,2,145000.0,75000.0,52500.0,71850.0,52750.0,62250.0,77500.0,120000.0,102775.0,211250.0,147196.0,147500.0,119750.0,142500.0,134950.0,170000.0,135000.0,200000.0,280400.0,190107.5,238944.0,255000.0,253000.0,380000.0,303380.0,341000.0,517500.0,376800.0,244450.0,206000.0,250000.0,280000.0,260000.0,364000.0,409000.0,508300.0,520000.0,479000.0,650000.0,676000.0,
98072,0,92475.0,107915.0,116000.0,117000.0,117725.0,129725.0,122500.0,177730.0,220692.0,215000.0,214500.0,211808.5,221000.0,226000.0,248750.0,267000.0,280000.0,315750.0,329950.0,317500.0,327500.0,340000.0,405059.0,449250.0,545000.0,551250.0,529000.0,454390.0,471200.0,477000.0,425000.0,500000.0,528250.0,540550.0,680000.0,722000.0,800000.0,758875.0,862500.0,1105000.0,1650000.0
98072,1,83948.0,129017.5,110000.0,122475.0,122000.0,100475.0,137500.0,155000.0,279000.0,178500.0,187475.0,194500.0,162500.0,205000.0,247000.0,247000.0,269900.0,312475.0,295000.0,317975.0,309250.0,373725.0,355000.0,428400.0,649950.0,582500.0,559000.0,505500.0,445000.0,349900.0,529000.0,525000.0,540000.0,592545.0,572997.5,640000.0,779500.0,812475.0,750000.0,1039000.0,1762500.0
98072,2,,83000.0,78995.0,,85750.0,103475.0,127250.0,213720.0,185000.0,205500.0,164500.0,203750.0,183000.0,165000.0,202000.0,224000.0,243250.0,216250.0,280000.0,288450.0,335000.0,260000.0,380000.0,396975.0,525000.0,509450.0,449000.0,450000.0,463200.0,345049.5,392500.0,400000.0,490000.0,489500.0,570000.0,650000.0,752500.0,710000.0,766000.0,1099500.0,900000.0
98072,3,,,,,,,,,,,147000.0,,,152000.0,,132000.0,179500.0,,188500.0,,312950.0,437000.0,,322500.0,,,,,337500.0,,,260000.0,380575.0,,385000.0,,,697500.0,,970000.0,
98074,0,92000.0,116475.0,123150.0,135975.0,138400.0,144750.0,139850.0,167500.0,234950.0,203000.0,206950.0,217750.0,229950.0,242000.0,244450.0,273500.0,319000.0,334990.0,359095.0,369975.0,385000.0,417927.0,455000.0,511513.0,605000.0,630000.0,606000.0,529500.0,540000.0,513750.0,517750.0,576750.0,625000.0,660000.0,750000.0,850000.0,927000.0,905500.0,1025000.0,1400000.0,1760000.0
98074,1,,,,74475.0,86000.0,99500.0,107975.0,122000.0,158000.0,154500.0,250000.0,170250.0,174950.0,172500.0,222500.0,171475.0,244500.0,265000.0,330000.0,295750.0,321200.0,296000.0,364000.0,483000.0,577475.0,474900.0,610000.0,528500.0,423500.0,413500.0,504000.0,669950.0,625000.0,597500.0,689000.0,750000.0,697500.0,752500.0,865000.0,1081250.0,
98074,2,73950.0,121000.0,78675.0,145825.0,,192719.0,480980.0,198950.0,247500.0,369975.0,202000.0,208000.0,214500.0,247725.0,250280.0,280250.0,252500.0,360000.0,347000.0,310750.0,360000.0,400000.0,399995.0,517500.0,589995.0,535000.0,530000.0,406500.0,655000.0,595000.0,550000.0,658736.5,527500.0,788500.0,721000.0,939750.0,1032500.0,825500.0,950000.0,1463500.0,5000000.0
98075,0,118225.0,126250.0,120000.0,112000.0,118950.0,130000.0,152000.0,252500.0,325000.0,279000.0,270500.0,292175.0,300000.0,342725.0,356990.0,384363.0,405000.0,431000.0,454000.0,420956.0,475007.5,471000.0,528990.0,590000.0,729000.0,750000.0,703500.0,600000.5,623110.0,585000.0,605000.0,686000.0,705000.0,759000.0,868500.0,989500.0,1056750.0,1035000.0,1180000.0,1577000.0,2125000.0
98075,1,,,105100.0,92500.0,130000.0,138475.0,126000.0,156000.0,278500.0,253000.0,206000.0,311500.0,321250.0,229000.0,207000.0,367737.5,305000.0,372875.0,392850.0,452990.0,492500.0,550000.0,462500.0,515000.0,725000.0,790000.0,728500.0,637000.0,447950.0,562456.0,507000.0,537031.5,660000.0,779075.0,868250.0,976250.0,960000.0,890000.0,985000.0,1475000.0,1950000.0
98075,2,,71750.0,,110000.0,167500.0,82475.0,305000.0,300000.0,208000.0,,230000.0,175250.0,210500.0,271000.0,284990.0,357000.0,297500.0,395000.0,359950.0,275000.0,449500.0,287000.0,460500.0,570000.0,609000.0,775000.0,420000.0,517875.0,475000.0,707500.0,470000.0,702500.0,406430.0,622500.0,848000.0,106931.0,1102500.0,925000.0,1005000.0,1380000.0,710000.0
98077,0,83500.0,100000.0,115000.0,122000.0,117203.5,127000.0,172500.0,182250.0,289950.0,270000.0,285000.0,309950.0,299950.0,310000.0,323000.0,348000.0,385495.0,411990.0,450000.0,427000.0,472500.0,472000.0,525000.0,619950.0,679500.0,713625.0,654500.0,572000.0,615000.0,572738.5,580000.0,614000.0,632712.5,678500.0,757475.0,850000.0,849475.0,975000.0,1085000.0,1319500.0,1922500.0
98077,1,105000.0,92500.0,77000.0,,142500.0,98500.0,132425.0,172500.0,318950.0,270000.0,254750.0,197999.5,215475.0,249125.0,262525.0,296450.0,355750.0,294000.0,325000.0,375433.5,363250.0,369950.0,438750.0,438975.0,444000.0,770000.0,313500.0,525000.0,357500.0,571975.0,427000.0,597950.0,650000.0,620000.0,640000.0,750000.0,845000.0,800000.0,877500.0,964500.0,1450000.0
98077,2,215000.0,,95000.0,163025.0,97200.0,92000.0,98000.0,224950.0,,177500.0,155250.0,150000.0,175000.0,150923.5,206450.0,202750.0,193000.0,220500.0,270500.0,258975.0,380000.0,250000.0,333000.0,380000.0,389250.0,560000.0,492000.0,321250.0,342500.0,186000.0,500000.0,314500.0,375000.0,495000.0,492500.0,862000.0,690000.0,610000.0,321000.0,870000.0,
98079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305276.0,,,,,,,,632000.0,,,
98083,0,,,,,,,,,,,,,,,,,,,,340000.0,,,,,,,,505000.0,,,,,,,,,,,,,
98085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092637.0,,,
98092,0,83500.0,80000.0,78950.0,90325.0,89950.0,91050.0,102625.0,122000.0,141900.0,152700.0,143975.0,144212.5,162735.0,164950.0,174900.0,177805.0,189725.0,201250.0,209000.0,226350.0,230000.0,236000.0,258200.0,312000.0,353800.0,363000.0,319950.0,284950.0,277500.0,237825.0,239995.0,265000.0,285167.0,327500.0,350000.0,384500.0,425000.0,431000.0,497500.0,600000.0,694950.0
98092,1,,92250.0,,91250.0,72000.0,,115000.0,91200.0,109000.0,,113000.0,132497.5,95000.0,,130000.0,111124.5,193285.0,178975.0,159950.0,199950.0,203950.0,200000.0,315750.0,265500.0,344000.0,284950.0,400000.0,217950.0,232000.0,174000.0,243500.0,208750.0,250000.0,277000.0,338000.0,345000.0,405000.0,423000.0,223500.0,512500.0,570000.0
98092,2,,70997.5,66500.0,130500.0,107975.0,105750.0,139750.0,164450.0,171500.0,153000.0,135000.0,157000.0,127500.0,156750.0,184700.0,180000.0,192000.0,180250.0,141600.0,220000.0,243950.0,215000.0,280257.5,350000.0,365000.0,355500.0,303925.0,280000.0,327815.0,232206.0,223475.0,237000.0,345000.0,268900.0,368500.0,472650.0,398750.0,472576.0,492000.0,535000.0,772500.0
98092,3,,,,,,,,,,,,,,,195000.0,,,212500.0,,183000.0,,,245000.0,,,415000.0,,,,,,,454800.0,352000.0,,,655000.0,,520000.0,895000.0,
98097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303450.0,,,,,,,,,,
98102,0,123625.0,202000.0,116500.0,142000.0,177100.0,136500.0,183000.0,318500.0,392500.0,425000.0,280000.0,278000.0,300000.0,374000.0,363750.0,425500.0,424500.0,508500.0,587700.0,604000.0,548400.0,610000.0,640500.0,845000.0,849000.0,865000.0,920000.0,755000.0,799500.0,778000.0,778000.0,910000.0,967000.0,1090000.0,1200000.0,1530000.0,1550000.0,1350000.0,1612500.0,1600000.0,1618000.0
98102,1,,,110000.0,71500.0,166250.0,183500.0,127113.5,309975.0,225000.0,260500.0,244950.0,250000.0,267000.0,310000.0,310000.0,328700.0,387475.0,412500.0,539000.0,552000.0,423500.0,569000.0,606500.0,665000.0,713750.0,758500.0,660000.0,616254.5,677000.0,665000.0,721500.0,685000.0,900000.0,900000.0,1064000.0,1065000.0,1268000.0,1247000.0,1660000.0,1435000.0,1725000.0
98102,2,121000.0,165000.0,,,250750.0,135083.0,119000.0,212500.0,406000.0,,260000.0,226000.0,165000.0,248000.0,255000.0,273000.0,350000.0,412500.0,485000.0,480000.0,394250.0,350000.0,539975.0,750000.0,740000.0,667950.0,590000.0,565500.0,680000.0,561500.0,695000.0,818025.0,820500.0,1162500.5,1100000.0,1525000.0,1350000.0,1395000.0,1110000.0,1200000.0,1395000.0
98102,3,,150000.0,134500.0,,166250.0,,,,,249000.0,187000.0,295000.0,173500.0,175000.0,371000.0,337500.0,300000.0,225000.0,350000.0,285000.0,695000.0,398000.0,608750.0,998000.0,1005000.0,695000.0,947841.0,912500.0,882687.5,518500.0,793500.0,550000.0,600000.0,742000.0,936000.0,1210000.0,1009999.0,1067500.0,895000.0,1200000.0,1009000.0
98103,0,77500.0,79250.0,69950.0,75000.0,77950.0,89250.0,95000.0,120000.0,167500.0,150000.0,152500.0,149975.0,159950.0,165250.0,178000.0,195000.0,227000.0,269950.0,290550.0,310750.0,320000.0,337000.0,399950.0,439900.0,510500.0,560250.0,549975.0,447750.0,456000.0,460000.0,475000.0,559000.0,611000.0,638000.0,720000.0,801000.0,854300.0,856500.0,900000.0,1000000.0,1250000.0
98103,1,47500.0,93575.0,72750.0,67000.0,85000.0,75600.0,80625.0,115000.0,150000.0,174000.0,149950.0,165000.0,177150.0,171250.0,175000.0,197220.0,242500.0,246000.0,306000.0,335000.0,365000.0,357000.0,399200.0,459500.0,556000.0,550000.0,482500.0,500000.0,448500.0,497500.0,480000.0,577000.0,600572.5,695000.0,718750.0,874975.0,951500.0,911800.0,976500.0,1000000.0,1375000.0
98103,2,58500.0,68250.0,81000.0,64000.0,83000.0,71000.0,81000.0,109750.0,157000.0,123500.0,135000.0,144000.0,165850.0,165000.0,161500.0,167000.0,205750.0,222000.0,275000.0,272500.0,299950.0,308000.0,358544.0,411600.0,450000.0,533500.0,485000.0,437000.0,399250.0,403500.0,435000.0,472500.0,540000.0,603875.0,687500.0,850000.0,881944.5,764250.0,760000.0,945000.0,1000300.0
98103,3,,97000.0,,74000.0,,63900.0,68000.0,104375.0,117500.0,132000.0,144512.0,149975.0,161000.0,192500.0,153350.0,182500.0,172500.0,228750.0,240000.0,382000.0,240000.0,292000.0,402500.0,419450.0,458910.0,408000.0,441500.0,400500.0,380000.0,323975.0,437500.0,523100.0,550500.0,601000.0,629000.0,813000.0,867500.0,775000.0,796750.0,937000.0,610000.0
98104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630300.0,,,,,,
98105,0,125000.0,110500.0,116500.0,100000.0,129200.0,118250.0,152428.5,164500.0,232500.0,282500.0,190500.0,212500.0,212000.0,225500.0,225000.0,258000.0,305000.0,341000.0,393500.0,380000.0,399000.0,424500.0,479975.0,550000.0,623500.0,710000.0,689000.0,632500.0,637000.0,585142.0,640000.0,706000.0,800000.0,880000.0,961000.0,975000.0,1185000.0,1137500.0,1275000.0,1300000.0,1667500.0
98105,1,92725.0,115000.0,83000.0,81625.0,82500.0,94750.0,98000.0,119250.0,130000.0,187250.0,170500.0,174400.0,164500.0,184500.0,182500.0,219875.0,249500.0,262500.0,317000.0,345500.0,350000.0,368250.0,410000.0,525570.0,575000.0,645000.0,585500.0,506650.0,509900.5,550000.0,537250.0,555000.0,656000.0,649950.0,789500.0,917500.0,993057.0,872500.0,1083000.0,997100.0,1242500.0
98105,2,78000.0,71300.0,63500.0,69500.0,80000.0,64975.0,90750.0,118000.0,155750.0,125000.0,144750.0,145500.0,156500.0,157000.0,176125.0,179950.0,229000.0,249500.0,265000.0,295000.0,299500.0,310000.0,354250.0,430000.0,479975.0,485000.0,460000.0,420000.0,419000.0,378950.0,420000.0,500000.0,541050.0,599975.0,660000.0,755000.0,872000.0,830000.0,860000.0,898000.0,1060000.0
98105,3,41000.0,,,70000.0,73500.0,67200.0,83000.0,78372.5,130000.0,119802.5,122000.0,136000.0,104975.0,129000.0,147000.0,166700.0,158500.0,188000.0,214250.0,254000.0,240000.0,256500.0,319500.0,360000.0,404500.0,490000.0,375000.0,365000.0,437450.0,339950.0,364000.0,404750.0,424975.0,500000.0,530000.0,625000.0,721750.0,750000.0,739974.5,800000.0,
98106,0,50000.0,56000.0,56500.0,54000.0,55725.0,59500.0,59950.0,70275.0,92000.0,95000.0,103500.0,95000.0,102500.0,105000.0,106000.0,120250.0,127000.0,144950.0,165000.0,173000.0,180950.0,201000.0,219925.0,262500.0,306675.0,333980.0,301950.0,271500.0,249500.0,199975.0,214000.0,235000.0,290000.0,352500.0,375500.0,470500.0,549900.0,525000.0,560000.0,630000.0,650000.0
98106,1,50000.0,60150.0,61000.0,39400.0,48500.0,65000.0,56650.0,69725.0,66950.0,125000.0,100500.0,113115.0,105000.0,103100.0,108750.0,118475.0,122500.0,129750.0,153000.0,168700.0,198950.0,196000.0,218350.0,238500.0,306910.0,318500.0,299900.0,237475.0,290000.0,200000.0,235000.0,250000.0,272000.0,324000.0,388550.0,510125.0,530000.0,505000.0,472000.0,572500.0,624500.0
98106,2,42000.0,61000.0,53000.0,73000.0,57250.0,79000.0,50600.0,65500.0,108500.0,59500.0,80550.0,100500.0,86850.0,89500.0,82500.0,101725.0,133000.0,135475.0,154000.0,168500.0,179950.0,212000.0,220000.0,228650.0,300000.0,340000.0,288000.0,240000.0,300000.0,152975.0,128000.0,208000.0,235000.0,276000.0,350000.0,391000.0,428500.0,475000.0,557500.0,630000.0,560500.0
98106,3,,,,,,40000.0,,50000.0,,177000.0,,103400.0,,107500.0,,285000.0,114950.0,,221000.0,,170630.0,,,385000.0,,,,,,304500.0,,275000.0,,795000.0,,154975.0,272530.0,,,644000.0,
98107,0,73200.0,75000.0,70000.0,75000.0,78810.0,86000.0,89975.0,115000.0,136000.0,140750.0,142000.0,143500.0,149750.0,156000.0,161500.0,179950.0,214500.0,240110.0,279000.0,271700.0,305000.0,342000.0,369500.0,415000.0,483500.0,532000.0,525000.0,422500.0,447500.0,411000.0,469000.0,476500.0,542000.0,657000.0,694500.0,802500.0,810000.0,819000.0,901500.0,1022500.0,1065000.0
98107,1,83800.0,76500.0,58450.0,68250.0,74000.0,78000.0,133500.0,122500.0,208500.0,145000.0,135625.0,129000.0,161975.0,150000.0,152250.0,160250.0,239975.0,229475.0,257500.0,235000.0,290000.0,312000.0,353950.0,418750.0,454750.0,552500.0,521500.0,413000.0,413450.0,475000.0,434500.0,533000.0,496000.0,685000.0,728000.0,800000.0,767500.0,1000000.0,925000.0,925000.0,1060000.0
98107,2,,,,,,,53000.0,107000.0,115000.0,,111000.0,114500.0,145000.0,129950.0,129500.0,139950.0,167750.0,212000.0,223250.0,292695.0,246750.0,269950.0,288600.0,305000.0,360625.0,377500.0,408500.0,297750.0,347250.0,345850.0,392500.0,422500.0,,507116.0,605000.0,1450000.0,840000.0,686000.0,740000.0,743725.0,850000.0
98107,3,84000.0,,,80129.0,,69000.0,61500.0,,,,129000.0,122475.0,161500.0,142900.0,146500.0,187250.0,207450.0,165000.0,133250.0,274000.0,270000.0,283100.0,370500.0,554000.0,558750.0,612500.0,518500.0,300000.0,399950.0,349950.0,381500.0,390000.0,477000.0,609000.0,580000.0,820000.0,823000.0,900000.0,988200.0,975000.0,1500000.0
98108,0,50975.0,77000.0,63450.0,63600.0,55500.0,59950.0,69750.0,77000.0,88500.0,114000.0,113500.0,99000.0,105000.0,110000.0,120000.0,134500.0,147475.0,158950.0,192500.0,200000.0,210000.0,221160.0,242500.0,282000.0,315000.0,355000.0,330000.0,290000.0,272900.0,250000.0,229000.0,286000.0,326448.0,350000.0,423000.0,499000.0,525000.0,560000.0,638750.0,686250.0,650000.0
98108,1,60000.0,59250.0,80000.0,65000.0,63000.0,110000.0,52000.0,80887.5,90000.0,65000.0,114000.0,126500.0,115000.0,96000.0,132000.0,128325.0,147950.0,150000.0,176000.0,200000.0,200000.0,203500.0,239900.0,305000.0,336000.0,264000.0,265000.0,296000.0,276900.0,188000.0,235000.0,240000.0,265000.0,295000.0,447500.0,457500.0,550000.0,657000.0,479000.0,643500.0,424381.5
98108,2,63000.0,85000.0,40000.0,66500.0,65000.0,104700.0,58250.0,77000.0,95000.0,107625.0,100000.0,98000.0,108000.0,124800.0,122475.0,129750.0,135950.0,138250.0,159500.0,180000.0,193550.0,214000.0,225000.0,279000.0,315000.0,319975.0,298760.0,300000.0,240000.0,177500.0,237000.0,265000.0,262500.0,285250.0,405000.0,480000.0,500000.0,500000.0,550000.0,665000.0,402413.5
