ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98005,5,153250.0,109750.0,129975.0,110000.0,115000.0,114000.0,137500.0,144434.0,193000.0,219000.0,202000.0,239500.0,198500.0,260000.0,235000.0,247500.0,285000.0,330975.0,374950.0,375000.0,401000.0,389500.0,449000.0,520000.0,655000.0,720000.0,717500.0,634000.0,560000.0,585000.0,562500.0,703500.0,789000.0,857050.0,900000.0,1142300.0,1410000.0,1420000.5,1350000.0,2100000.0,2270000.0
98006,1,,,,,,,,,,,,710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,
98006,2,,62500.0,,,,176500.0,,110000.0,,330000.0,202900.0,,,,,178000.0,258000.0,244950.0,242500.0,,286000.0,,,,475000.0,,,,,,,,,650000.0,,880000.0,580000.0,,,654000.0,1150000.0
98006,3,126000.0,109000.0,122950.0,143750.0,132000.0,157250.0,180000.0,202245.0,268795.0,254250.0,284000.0,290000.0,321000.0,330495.0,338600.0,365000.0,401350.0,459475.0,501403.0,499950.0,481250.0,510000.0,565000.0,687000.0,715000.0,825000.0,695000.0,645000.0,669875.0,672500.0,700000.0,784500.0,866634.0,870000.0,1000000.0,1130444.0,1206250.0,1160000.0,1271500.0,1631750.0,1660000.0
98006,4,127000.0,132700.0,122147.0,124000.0,125000.0,129500.0,133250.0,167250.0,228000.0,205000.0,195000.0,203750.0,219500.0,212000.0,212750.0,245750.0,274425.0,308475.0,310000.0,328500.0,355500.0,365500.0,424000.0,475000.0,554000.0,605000.0,580000.0,499500.0,527500.0,517000.0,550000.0,570500.0,637000.0,732500.0,749500.0,982500.0,999950.0,950000.0,1040000.0,1400000.0,1766500.0
98006,5,120000.0,126475.0,137000.0,112000.0,113975.0,130000.0,151000.0,149975.0,210950.0,206500.0,177500.0,195000.0,227500.0,197500.0,225000.0,255000.0,263000.0,294000.0,339000.0,360050.0,393975.0,350000.0,412735.0,449950.0,588500.0,601125.0,560000.0,453500.0,544880.0,507000.0,482500.0,562500.0,579975.0,691100.0,825500.0,994000.0,999888.0,942500.0,1025000.0,1415000.0,1875000.0
98007,1,,,,,,,,,,,,,,,,,,194000.0,254900.0,,,289000.0,,,,,,,,,,,,,,,,,701600.0,,
98007,2,,,,69250.0,,98000.0,,119000.0,,,191505.0,157500.0,153000.0,,,170000.0,239500.0,,245000.0,190000.0,,,359500.0,,,,,,,,,,460000.0,,,,240000.0,715000.0,830000.0,928000.0,
98007,3,99500.0,87500.0,96625.0,93500.0,81500.0,127700.0,112000.0,146900.0,157500.0,164475.0,157000.0,155000.0,158950.0,160000.0,166340.0,189950.0,245000.0,295000.0,310000.0,290000.0,333100.0,297000.0,373500.0,424950.0,484950.0,500000.0,493525.0,450000.0,393500.0,373000.0,420000.0,480000.0,546000.0,705000.0,720000.0,752000.0,892000.0,1150000.0,900000.0,1167500.0,1430000.0
98007,4,109000.0,89000.0,100375.0,79500.0,86500.0,107200.0,118250.0,122750.0,180750.0,161750.0,164750.0,159850.0,171000.0,174750.0,178000.0,184950.0,205000.0,245000.0,250000.0,283000.0,291500.0,295000.0,327000.0,409950.0,518500.0,532500.0,483500.0,422500.0,411750.0,375000.0,355000.0,445000.0,519000.0,560000.0,603505.0,789000.0,810000.0,828000.0,880500.0,1065500.0,1400000.0
98007,5,205000.0,83500.0,84750.0,149000.0,74000.0,,90475.0,139975.0,113000.0,187250.0,141000.0,161250.0,178525.0,173000.0,189000.0,210000.0,230250.0,235000.0,250000.0,252500.0,294000.0,283500.0,330000.0,401500.0,472000.0,499900.0,485000.0,400500.0,411500.0,541781.0,399750.0,430000.0,522500.0,610000.0,693000.0,910000.0,805000.0,803750.0,885500.0,1320000.0,1480000.0
98008,2,,74500.0,,,78500.0,74950.0,,114900.0,,,222500.0,,142500.0,162000.0,,132450.0,149000.0,220000.0,242000.0,,,,,330000.0,426000.0,,1200000.0,,,,,756500.0,379000.0,450000.0,,,1500000.0,1400000.0,127600.0,775000.0,
98008,3,80225.0,87940.0,86500.0,90245.0,93250.0,95355.0,121500.0,129475.0,186250.0,161475.0,166900.0,159900.0,178500.0,185000.0,180000.0,219475.0,235000.0,255350.0,285000.0,270000.0,290750.0,314254.0,353500.0,425000.0,520000.0,555000.0,500000.0,449000.0,481500.0,369950.0,425000.0,485000.0,501000.0,585000.0,652000.0,800000.0,865000.0,878800.0,1000000.0,1200000.0,1577500.0
98008,4,88547.5,102125.0,100000.0,96000.0,86500.0,94100.0,109950.0,124425.0,184000.0,155500.0,159000.0,166000.0,173750.0,180000.0,189950.0,214950.0,230910.0,250500.0,275000.0,279000.0,298500.0,290000.0,346500.0,415000.0,495000.0,530500.0,495500.0,418375.0,429000.0,391000.0,435000.0,490000.0,527500.0,577500.0,680000.0,800000.0,868500.0,850500.0,905000.0,1200000.0,1365000.0
98008,5,85000.0,89750.0,88500.0,91975.0,90000.0,104000.0,114000.0,112750.0,182500.0,149000.0,158000.0,157000.0,160000.0,176500.0,184750.0,209950.0,248000.0,253050.0,278495.0,290000.0,288000.0,307250.0,345000.0,426500.0,494000.0,527000.0,564900.0,479950.0,480000.0,448000.0,447000.0,466000.0,583000.0,602500.0,726250.0,797500.0,918000.0,879000.0,980000.0,1300000.0,1556250.0
98009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600057.0,649995.0,,2450000.0,,
98010,1,,,,,,,,35000.0,52500.0,,,,,,,,,129000.0,,,,,,,,160000.0,,,,,10000.0,,,83000.0,,,,,700000.0,500000.0,
98010,2,,,,,,,,,,,,,,145500.0,,124800.0,208849.5,,85000.0,85000.0,,148000.0,325000.0,180000.0,280000.0,195500.0,,,,,,,,,214380.0,,,160000.0,220750.0,410000.0,
98010,3,80000.0,135000.0,55000.0,55000.0,98375.0,77000.0,123894.0,129500.0,124950.0,109975.0,121535.0,129950.0,145990.0,154990.0,167490.0,175646.0,205159.5,179500.0,229950.0,201975.0,232595.0,271225.0,246450.0,285500.0,322000.0,328500.0,377500.0,399950.0,259250.0,270000.0,280000.0,265000.0,287500.0,495000.0,360000.0,412475.0,484950.0,465900.0,509950.0,605112.0,744000.0
98010,4,85000.0,89000.0,60000.0,85500.0,71000.0,90000.0,134250.0,157500.0,119950.0,116457.5,107000.0,117500.0,132950.0,127500.0,129000.0,161750.0,179934.0,174550.0,179000.0,198350.0,199500.0,207000.0,214500.0,262000.0,300000.0,324950.0,245500.0,235000.0,227500.0,225000.0,182500.0,260000.0,256500.0,325000.0,332000.0,370000.0,356125.0,400000.0,482500.0,620000.0,586500.0
98010,5,52000.0,69000.0,57400.0,,,95950.0,99250.0,66650.0,84000.0,,138000.0,91250.0,102250.0,109000.0,133500.0,190747.0,138450.0,161500.0,119000.0,164500.0,196725.0,160200.0,177000.0,260025.0,235000.0,259950.0,226325.0,215000.0,195000.0,185000.0,114215.5,185000.0,293000.0,240000.0,290950.0,325000.0,335000.0,334000.0,377500.0,565500.0,945000.0
98011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000.0,,,,,1250000.0,,1300000.0,,6549000.0,
98011,2,,68500.0,,,141500.0,,84000.0,87500.0,,,112000.0,150000.0,124975.0,,,,,,275000.0,,,210000.0,,,324500.0,,,,,,258500.0,,,,,,316500.0,,750000.0,282500.0,
98011,3,80750.0,83000.0,88245.0,85500.0,91950.0,93000.0,136950.0,156500.0,182250.0,220000.0,172950.0,169000.0,180855.0,179049.0,193750.0,209950.0,224975.0,245000.0,289000.0,290000.0,296950.0,321000.0,361701.0,389950.0,480000.0,467500.0,442000.0,380000.0,360000.0,362500.0,364000.0,432554.0,460000.0,533750.0,575000.0,690000.0,681000.0,670000.0,755000.0,925000.0,1170000.0
98011,4,74950.0,76500.0,72975.0,92000.0,95000.0,104000.0,103500.0,116250.5,166975.0,155475.0,155740.0,150500.0,166450.0,164700.0,183000.0,189950.0,222500.0,233750.0,239700.0,250000.0,259975.0,276000.0,300000.0,350000.0,410000.0,423950.0,435000.0,348694.0,342975.0,344000.0,353500.0,400950.0,435750.0,460000.0,567500.0,620000.0,694450.0,696500.0,769000.0,960000.0,1105299.0
