zipcode,year,median_income
78701,2015,96455
78702,2015,41016
78703,2015,88163
78704,2015,58601
78705,2015,12385
78712,2015,-1
78717,2015,100364
78719,2015,41111
78721,2015,37234
78722,2015,64929
78723,2015,42433
78724,2015,39350
78725,2015,58707
78726,2015,70664
78727,2015,72953
78728,2015,53510
78729,2015,65279
78730,2015,105022
78731,2015,82892
78732,2015,132980
78733,2015,130964
78734,2015,95539
78735,2015,89245
78736,2015,92581
78737,2015,127934
78738,2015,128160
78739,2015,132026
78741,2015,31657
78742,2015,37375
78744,2015,42440
78745,2015,55365
78746,2015,128184
78747,2015,67313
78748,2015,70141
78749,2015,89713
78750,2015,76285
78751,2015,45726
78752,2015,38841
78753,2015,40376
78754,2015,53962
78756,2015,64978
78757,2015,61497
78758,2015,43979
78759,2015,71647
78953,2015,44809
78957,2015,42171
76527,2016,51362
76530,2016,44313
76537,2016,60954
76573,2016,-1
76574,2016,46125
76578,2016,56094
78602,2016,55304
78605,2016,63902
78608,2016,-1
78610,2016,75453
78611,2016,46401
78612,2016,57619
78613,2016,91033
78615,2016,44779
78616,2016,51931
78617,2016,47551
78619,2016,111944
78620,2016,94260
78621,2016,54921
78622,2016,50313
78626,2016,61033
78628,2016,81825
78633,2016,71613
78634,2016,74392
78640,2016,67353
78641,2016,83526
78641,2016,83526
78642,2016,74013
78644,2016,53080
78645,2016,70396
78648,2016,43998
78650,2016,60417
78652,2016,78594
78653,2016,60880
78654,2016,54002
78655,2016,59659
78656,2016,41691
78659,2016,68321
78660,2016,78145
78661,2016,46953
78662,2016,77807
78664,2016,63923
78665,2016,88900
78666,2016,36025
78669,2016,92875
78676,2016,68442
78681,2016,98444
78701,2016,102112
78702,2016,48174
78703,2016,92746
78704,2016,62283
78705,2016,13349
78712,2016,-1
78717,2016,103595
78719,2016,45250
78721,2016,38301
78722,2016,63559
78723,2016,42462
78724,2016,41308
78725,2016,55119
78726,2016,95646
78727,2016,72535
78728,2016,55619
78729,2016,70164
78730,2016,105086
78731,2016,83438
78732,2016,138734
78733,2016,129875
78734,2016,98019
78735,2016,94375
78736,2016,97049
78737,2016,123312
78738,2016,121505
78739,2016,134313
78741,2016,34950
78742,2016,36250
78744,2016,43871
78745,2016,56778
78746,2016,132551
78747,2016,75698
78748,2016,72908
78749,2016,87421
78750,2016,79228
78751,2016,51567
78752,2016,38363
78753,2016,41489
78754,2016,56819
78756,2016,69583
78757,2016,62992
78758,2016,47244
78759,2016,74379
78953,2016,90156
78957,2016,45391
76527,2017,55333
76530,2017,45223
76537,2017,64730
76573,2017,-1
76574,2017,50030
76578,2017,63611
78602,2017,58509
78605,2017,63154
78608,2017,108110
78610,2017,76623
78611,2017,54088
78612,2017,59894
78613,2017,96857
78615,2017,43988
78616,2017,53457
78617,2017,52819
78619,2017,117212
78620,2017,98125
78621,2017,58730
78622,2017,51979
78626,2017,62860
78628,2017,84147
78633,2017,74375
78634,2017,77092
78640,2017,69014
78641,2017,88562
78641,2017,88562
78642,2017,85896
78644,2017,58005
78645,2017,75761
78648,2017,43385
78650,2017,59769
78652,2017,87520
78653,2017,66752
78654,2017,56488
78655,2017,57009
78656,2017,45260
78659,2017,64808
78660,2017,81693
78661,2017,46250
78662,2017,80315
78664,2017,67462
78665,2017,92511
78666,2017,38100
78669,2017,100862
78676,2017,71051
78681,2017,100622
78701,2017,112201
78702,2017,54053
78703,2017,98553
78704,2017,66262
78705,2017,15309
78712,2017,-1
78717,2017,104167
78719,2017,46833
78721,2017,41611
78722,2017,69267
78723,2017,49606
78724,2017,45158
78725,2017,62172
78726,2017,88322
78727,2017,74458
78728,2017,55603
78729,2017,73047
78730,2017,108750
