zipcode,year,median_income
98122,2020,81308
98125,2020,78263
98126,2020,84934
98133,2020,73702
98134,2020,71607
98136,2020,123042
98144,2020,87098
98146,2020,80633
98148,2020,70050
98154,2020,-1
98155,2020,107109
98158,2020,-1
98164,2020,240573
98166,2020,87882
98168,2020,66237
98174,2020,-1
98177,2020,125036
98178,2020,84820
98188,2020,64206
98195,2020,-1
98198,2020,66938
98199,2020,134709
98224,2020,46250
98288,2020,50625
